id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.district,children_count.commune,zip_codes,geo.lat,geo.lon
0204,2,ស្រុក,District,បវេល,Bavel,bavel-0204,0204,,02,បាត់ដំបង,Battambang,,,9,,13.216788000000001,102.82214789233467
0205,2,ស្រុក,District,ឯកភ្នំ,Aek Phnum,aek-phnum-0205,0205,,02,បាត់ដំបង,Battambang,,,7,,13.1631918,103.2305121
0206,2,ស្រុក,District,មោងឫស្សី,Moung Ruessei,moung-ruessei-0206,0206,,02,បាត់ដំបង,Battambang,,,9,,12.775758,103.4486415
0207,2,ស្រុក,District,រតនមណ្ឌល,Rotonak Mondol,rotonak-mondol-0207,0207,,02,បាត់ដំបង,Battambang,,,5,,12.9086418,102.8824003119087
0208,2,ស្រុក,District,សង្កែ,Sangkae,sangkae-0208,0208,,02,បាត់ដំបង,Battambang,,,10,,13.0744566,103.2438673
0209,2,ស្រុក,District,សំឡូត,Samlout,samlout-0209,0209,,02,បាត់ដំបង,Battambang,,,7,,12.6226916,102.8523788
0210,2,ស្រុក,District,សំពៅលូន,Sampov Lun,sampov-lun-0210,0210,,02,បាត់ដំបង,Battambang,,,6,,13.419025099999999,102.5236318714496
0211,2,ស្រុក,District,ភ្នំព្រឹក,Phnum Proek,phnum-proek-0211,0211,,02,បាត់ដំបង,Battambang,,,5,,13.29109285,102.51932343699104
0212,2,ស្រុក,District,កំរៀង,Kamrieng,kamrieng-0212,0212,,02,បាត់ដំបង,Battambang,,,6,,13.0899494,102.51831760938151
0213,2,ស្រុក,District,គាស់ក្រឡ,Koas Krala,koas-krala-0213,0213,,02,បាត់ដំបង,Battambang,,,6,,12.7550281,103.2628529
0214,2,ស្រុក,District,រុក្ខគិរី,Rukh Kiri,rukh-kiri-0214,0214,,02,បាត់ដំបង,Battambang,,,5,,12.59417915,103.43565034578185
03,1,ខេត្ត,Province,កំពង់ចាម,Kampong Cham,kampong-cham-03,03,,,,,,10,109,,12.1174857,105.20800220742942
0301,2,ស្រុក,District,បាធាយ,Batheay,batheay-0301,0301,,03,កំពង់ចាម,Kampong Cham,,,12,,11.9931056,104.9457831
0302,2,ស្រុក,District,ចំការលើ,Chamkar Leu,chamkar-leu-0302,0302,,03,កំពង់ចាម,Kampong Cham,,,8,,12.3013417,105.2924357
0303,2,ស្រុក,District,ជើងព្រៃ,Cheung Prey,cheung-prey-0303,0303,,03,កំពង់ចាម,Kampong Cham,,,10,,12.053626,105.0717844
0305,2,ស្រុក,District,កំពង់ចាម,Kampong Cham,kampong-cham-0305,0305,,03,កំពង់ចាម,Kampong Cham,,,4,,11.9921855,105.4628346
0306,2,ស្រុក,District,កំពង់សៀម,Kampong Siem,kampong-siem-0306,0306,,03,កំពង់ចាម,Kampong Cham,,,15,,12.0210166,105.4271324
0307,2,ស្រុក,District,កងមាស,Kang Meas,kang-meas-0307,0307,,03,កំពង់ចាម,Kampong Cham,,,11,,11.9504688,105.2707989
0308,2,ស្រុក,District,កោះសូទិន,Kaoh Soutin,kaoh-soutin-0308,0308,,03,កំពង់ចាម,Kampong Cham,,,8,,11.8823352,105.4399467
0313,2,ស្រុក,District,ព្រៃឈរ,Prey Chhor,prey-chhor-0313,0313,,03,កំពង់ចាម,Kampong Cham,,,15,,12.055781,105.2552028
0314,2,ស្រុក,District,ស្រីសន្ធរ,Srei Santhor,srei-santhor-0314,0314,,03,កំពង់ចាម,Kampong Cham,,,14,,11.8363518,105.0858745
0315,2,ស្រុក,District,ស្ទឹងត្រង់,Stueng Trang,stueng-trang-0315,0315,,03,កំពង់ចាម,Kampong Cham,,,12,,12.2571813,105.5388356
04,1,ខេត្ត,Province,កំពង់ឆ្នាំង,Kampong Chhnang,kampong-chhnang-04,04,,,,,,8,71,,12.1382025,104.3354098
0401,2,ស្រុក,District,បរិបូណ៌,Baribour,baribour-0401,0401,,04,កំពង់ឆ្នាំង,Kampong Chhnang,,,11,,12.4389574,104.4623541
0402,2,ស្រុក,District,ជលគីរី,Chol Kiri,chol-kiri-0402,0402,,04,កំពង់ឆ្នាំង,Kampong Chhnang,,,5,,12.1593491,104.8815344
0403,2,ស្រុក,District,កំពង់ឆ្នាំង,Kampong Chhnang,kampong-chhnang-0403,0403,,04,កំពង់ឆ្នាំង,Kampong Chhnang,,,4,,12.2536026,104.6658389
0404,2,ស្រុក,District,កំពង់លែង,Kampong Leaeng,kampong-leaeng-0404,0404,,04,កំពង់ឆ្នាំង,Kampong Chhnang,,,9,,12.2741853,104.7254311
0405,2,ស្រុក,District,កំពង់ត្រឡាច,Kampong Tralach,kampong-tralach-0405,0405,,04,កំពង់ឆ្នាំង,Kampong Chhnang,,,10,,11.9384963,104.7136203
0406,2,ស្រុក,District,រលាប្អៀរ,Rolea B'ier,rolea-bier-0406,0406,,04,កំពង់ឆ្នាំង,Kampong Chhnang,,,14,,12.2059838,104.6613026
0407,2,ស្រុក,District,សាមគ្គីមានជ័យ,Sameakki Mean Chey,sameakki-mean-chey-0407,0407,,04,កំពង់ឆ្នាំង,Kampong Chhnang,,,9,,11.8772162,104.6041473
0408,2,ស្រុក,District,ទឹកផុស,Tuek Phos,tuek-phos-0408,0408,,04,កំពង់ឆ្នាំង,Kampong Chhnang,,,9,,12.052069,104.5259324
05,1,ខេត្ត,Province,កំពង់ស្ពឺ,Kampong Speu,kampong-speu-05,05,,,,,,9,88,,11.57753675,104.27140233242656
0501,2,ស្រុក,District,បរសេដ្ឋ,Basedth,basedth-0501,0501,,05,កំពង់ស្ពឺ,Kampong Speu,,,15,,11.200398,104.50433350548424
0502,2,ស្រុក,District,ច្បារមន,Chbar Mon,chbar-mon-0502,0502,,05,កំពង់ស្ពឺ,Kampong Speu,,,5,,11.4647156,104.5194625
0503,2,ស្រុក,District,គងពិសី,Kong Pisei,kong-pisei-0503,0503,,05,កំពង់ស្ពឺ,Kampong Speu,,,13,,11.3106024,104.62320857080852
0504,2,ស្រុក,District,ឱរ៉ាល់,Aural,aural-0504,0504,,05,កំពង់ស្ពឺ,Kampong Speu,,,5,,11.777897450000001,104.01083834230268
0506,2,ស្រុក,District,ភ្នំស្រួច,Phnum Sruoch,phnum-sruoch-0506,0506,,05,កំពង់ស្ពឺ,Kampong Speu,,,13,,11.310279900000001,104.25317703358202
0507,2,ស្រុក,District,សំរោងទង,Samraong Tong,samraong-tong-0507,0507,,05,កំពង់ស្ពឺ,Kampong Speu,,,15,,11.45044745,104.60617304001704
0508,2,ស្រុក,District,ថ្ពង,Thpong,thpong-0508,0508,,05,កំពង់ស្ពឺ,Kampong Speu,,,7,,11.758617300000001,104.34032516738003
0509,2,ស្រុក,District,ឧដុង្គម៉ែជ័យ,Odongk Maechay,odongk-maechay-0509,0509,,05,កំពង់ស្ពឺ,Kampong Speu,,,5,,,
0510,2,ស្រុក,District,សាមគ្គីមុនីជ័យ,Samkkei Munichay,samkkei-munichay-0510,0510,,05,កំពង់ស្ពឺ,Kampong Speu,,,10,,,
06,1,ខេត្ត,Province,កំពង់ធំ,Kampong Thom,kampong-thom-06,06,,,,,,9,81,,12.6687923,104.8879197
0601,2,ស្រុក,District,បារាយណ៍,Baray,baray-0601,0601,,06,កំពង់ធំ,Kampong Thom,,,10,,12.3892868,105.0789445
0602,2,ស្រុក,District,កំពង់ស្វាយ,Kampong Svay,kampong-svay-0602,0602,,06,កំពង់ធំ,Kampong Thom,,,11,,12.7915777,104.8249107
