id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
2101,អង្គរបូរី,Angkor Borei,angkor-borei-2101,2101,6,10.9958363,104.9753308
2102,បាទី,Bati,bati-2102,2102,15,11.2407943,104.8119577
2103,បូរីជលសារ,Borei Cholsar,borei-cholsar-2103,2103,5,10.8340452,105.0179878
2108,ដូនកែវ,Doun Kaev,doun-kaev-2108,2108,3,10.9875805,104.7830181
2105,កោះអណ្ដែត,Kaoh Andaet,kaoh-andaet-2105,2105,6,10.7965352,104.9482522
2104,គីរីវង់,Kiri Vong,kiri-vong-2104,2104,12,10.6400179,104.8767691
2106,ព្រៃកប្បាស,Prey Kabbas,prey-kabbas-2106,2106,13,11.1556469,104.9528949
2107,សំរោង,Samraong,samraong-2107,2107,11,11.1420911,104.8012079
2109,ត្រាំកក់,Tram Kak,tram-kak-2109,2109,15,11.0065848,104.6649599
2110,ទ្រាំង,Treang,treang-2110,2110,14,10.9067461,104.7770461
