id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
2008,បាវិត,Bavet,bavet-2008,2008,5,11.0691272,106.1436226
2001,ចន្ទ្រា,Chantrea,chantrea-2001,2001,6,10.9949854,106.1174193
2002,កំពង់រោទិ៍,Kampong Rou,kampong-rou-2002,2002,11,10.920359,105.9404897
2004,រមាសហែក,Romeas Haek,romeas-haek-2004,2004,16,11.41244,105.7908573
2003,រំដួល,Rumduol,rumduol-2003,2003,10,11.1593741,105.8184506
2005,ស្វាយជ្រំ,Svay Chrum,svay-chrum-2005,2005,16,11.115479,105.7152969
2006,ស្វាយរៀង,Svay Rieng,svay-rieng-2006,2006,7,11.080095,105.7974874
2007,ស្វាយទាប,Svay Teab,svay-teab-2007,2007,9,11.0488171,105.8806472
